YEAR,"2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_"
"LLDCs (Landlocked developing countries)",4687.7681967404,5550.2035314859,6136.4441112356,6228.351253967,6390.0205640235,5563.3521146843,5325.8642131082,5493.0446189444,6088.2995102699,6356.5570059886,6222.7352482274,7370.2031978433,10628.5287913663
"SIDS (Small island developing States) (UN-OHRLLS)",49897.5483832206,59992.5979799497,74124.41577847701,83535.72614979241,92072.1775494413,97921.7739590726,100873.1263756339,114826.3170993451,136190.8042085234,144042.3876842767,154600.6025465355,181865.0765045531,188295.6848005981
"  SIDS: Atlantic and Indian Ocean",3637.6627730329,3237.6059140378,8604.188687289001,8341.865023344501,8405.8395441946,8247.7173468888,8452.1616523305,9015.923034073499,9536.728472500001,9162.375645800001,10982.1588986,"-","-"
"  SIDS: Caribbean","-","-","-","-","-","-","-","-","-","-","-","-","-"
"  SIDS: Pacific",37927.4304511872,47530.9036776913,54759.389976339,63135.4366095847,71060.221851688,77804.396416055,80613.6638328783,93463.9206499077,113000.8259605843,122529.1906102742,132380.9801617622,157490.0733519534,164066.7344629419
"Low-income developing economies",4381.9314318283,5240.536213882,5971.0074155346,5980.4406965995,6429.4193523487,5974.4792725258,5730.1567838672,6114.1768152639,6637.8778887246,7013.5301311336,7162.1730305245,7934.4709267521,8430.410917396301
"Middle-income developing economies",119339.9283679381,134263.098037447,147788.1871015004,156619.1469435683,161762.6033059,166483.0781562231,170856.9366534464,179090.1623283637,196284.1373818181,212402.033365717,217067.7010160854,254363.0856766517,313494.6525090031
"High-income developing economies",218108.5962418925,261156.4506791096,287584.8309475611,315890.0324962807,352059.1900770007,351110.7069117884,356090.4345568195,389084.6925017054,452695.508878019,473677.6503969363,490606.6598025506,577510.4921836148,624107.8838749742
"BRICS",176068.8035742241,211096.814096048,224644.716962488,243036.84797976,261571.854137882,249923.930975411,251963.4505276999,268321.7893043499,309628.7156217841,335612.2692601601,349134.9554022909,425978.3284364697,486704.9625399264
"European Union (2020 �)",672948.7999999998,775957.9999999999,784344.1,865017.7999999999,967004.4999999999,911761.2000000001,961537.1000000001,1064238.1,1203838.5,1268215.1,1268333.7,1479739.4,1465873.104261643
"G20 (Group of Twenty)",1566470.604106187,1792526.173014654,1833436.313598482,1966069.722477951,2151972.498792355,2070598.570126493,2147829.873955808,2344269.768031028,2592637.279627943,2727826.060587364,2767373.60993794,3210612.627629028,3291615.667861772
"G-77 (Group of 77)",298512.4432858614,352137.8047662714,388153.0580037541,418394.9288618865,455207.9598575817,456744.8798870575,467347.4887421519,500800.131602585,576697.3039010098,613619.1439856616,635930.4009910616,751425.3319155447,847459.4596007733
"OECD (Organisation for Economic Cooperation and Development)",1465746.158136779,1664169.720741614,1700885.201515586,1816946.138207216,1989766.019376135,1918415.092996454,1998453.775451151,2173298.13224773,2388394.944856618,2494323.105363882,2513661.309506476,2898167.24495859,2923014.712663684
